    3,300000E-03     1503,708000    10170,160000      302,797500
    4,400000E-03     2002,635000    18038,650000      307,695200
    5,500000E-03     2499,586000    28101,950000      312,672200
    6,600000E-03     2994,069000    40320,330000      317,765000
    7,700000E-03     3485,598000    54645,590000      323,002500
    8,800000E-03     3973,687000    71021,160000      328,407300
    9,900000E-03     4457,855000    89382,460000      333,996300
    1,100000E-02     4937,623000   109657,000000      339,780800
    1,210000E-02     5412,518000   131764,700000      345,768200
    1,320000E-02     5882,072000   155618,400000      351,961800
    1,430000E-02     6345,821000   181124,000000      358,360800
    1,540000E-02     6803,307000   208180,700000      364,961600
    1,650000E-02     7254,079000   236681,900000      371,757400
    1,760000E-02     7697,692000   266514,900000      378,738200
    1,870000E-02     8133,708000   297562,100000      385,891800
    1,980000E-02     8561,698000   329701,000000      393,203600
    2,090000E-02     8981,238000   362804,700000      400,656700
    2,200000E-02     9391,915000   396742,500000      408,232000
    2,310000E-02     9793,322000   431380,500000      415,909000
    2,420000E-02    10185,070000   466582,100000      423,665300
    2,530000E-02    10566,760000   502208,300000      431,477300
    2,640000E-02    10938,020000   538118,400000      439,320200
    2,750000E-02    11298,490000   574170,900000      447,168300
    2,860000E-02    11647,810000   610223,300000      454,995100
    2,970000E-02    11985,630000   646133,400000      462,773600
    3,080000E-02    12311,630000   681759,600000      470,476200
    3,190000E-02    12625,470000   716961,100000      478,075400
    3,300000E-02    12926,860000   751599,100000      485,543400
    3,410000E-02    13215,480000   785536,900000      492,852900
    3,520000E-02    13491,070000   818640,300000      499,976600
    3,630000E-02    13753,340000   850779,100000      506,887500
    3,740000E-02    14002,040000   881826,200000      513,559900
    3,850000E-02    14236,920000   911659,100000      519,968300
    3,960000E-02    14457,750000   940160,100000      526,088100
    4,070000E-02    14664,310000   967216,700000      531,895800
    4,180000E-02    14856,400000   992722,000000      537,368900
    4,290000E-02    15033,830000  1016576,000000      542,486400
    4,400000E-02    15196,420000  1038683,000000      547,228500
    4,510000E-02    15344,020000  1058957,000000      551,576700
    4,620000E-02    15476,470000  1077319,000000      555,514000
    4,730000E-02    15593,650000  1093694,000000      559,025300
    4,840000E-02    15695,440000  1108019,000000      562,096600
    4,950000E-02    15781,730000  1120237,000000      564,716000
    5,060000E-02    15852,460000  1130300,000000      566,873400
    5,170000E-02    15907,540000  1138168,000000      568,560200
    5,280000E-02    15946,920000  1143811,000000      569,769700
    5,390000E-02    15970,570000  1147205,000000      570,497400
    5,500000E-02    15978,450000  1148338,000000      570,740200
    5,610000E-02    15970,560000  1147204,000000      570,497300
    5,720000E-02    15946,910000  1143810,000000      569,769700
    5,830000E-02    15907,530000  1138167,000000      568,560000
    5,940000E-02    15852,450000  1130298,000000      566,873400
    6,050000E-02    15781,720000  1120234,000000      564,716200
    6,160000E-02    15695,410000  1108016,000000      562,096700
    6,270000E-02    15593,620000  1093690,000000      559,025600
    6,380000E-02    15476,440000  1077314,000000      555,514500
    6,490000E-02    15343,980000  1058953,000000      551,577200
    6,600000E-02    15196,390000  1038678,000000      547,229200
    6,710000E-02    15033,790000  1016570,000000      542,487200
    6,820000E-02    14856,360000   992716,300000      537,370000
    6,930000E-02    14664,270000   967210,600000      531,897200
    7,040000E-02    14457,700000   940153,600000      526,090000
    7,150000E-02    14236,870000   911652,400000      519,970900
    7,260000E-02    14001,980000   881819,100000      513,563200
    7,370000E-02    13753,280000   850771,900000      506,891700
    7,480000E-02    13491,010000   818632,900000      499,981600
    7,590000E-02    13215,420000   785529,100000      492,859000
    7,700000E-02    12926,790000   751591,200000      485,550800
    7,810000E-02    12625,400000   716953,100000      478,084200
    7,920000E-02    12311,550000   681751,500000      470,486700
    8,030000E-02    11985,550000   646125,200000      462,785700
    8,140000E-02    11647,730000   610215,100000      455,009200
    8,250000E-02    11298,410000   574162,600000      447,184500
    8,360000E-02    10937,940000   538110,200000      439,338800
    8,470000E-02    10566,670000   502200,000000      431,498400
    8,580000E-02    10184,980000   466573,900000      423,689200
    8,690000E-02     9793,231000   431372,500000      415,935800
    8,800000E-02     9391,821000   396734,600000      408,262000
    8,910000E-02     8981,143000   362796,900000      400,690000
    9,020000E-02     8561,601000   329693,500000      393,240500
    9,130000E-02     8133,609000   297554,800000      385,932300
    9,240000E-02     7697,591000   266507,900000      378,782300
    9,350000E-02     7253,976000   236675,100000      371,805300
    9,460000E-02     6803,202000   208174,300000      365,013400
    9,570000E-02     6345,714000   181117,900000      358,416400
    9,680000E-02     5881,964000   155612,800000      352,021100
    9,790000E-02     5412,409000   131759,400000      345,831100
    9,900000E-02     4937,513000   109652,100000      339,846900
    1,001000E-01     4457,744000    89377,990000      334,065100
    1,012000E-01     3973,575000    71017,160000      328,478500
    1,023000E-01     3485,485000    54642,040000      323,075400
    1,034000E-01     2993,956000    40317,270000      317,838600
    1,045000E-01     2499,471000    28099,380000      312,745700
    1,056000E-01     2002,520000    18036,590000      307,767500
    1,067000E-01     1503,593000    10168,600000      302,867400
